Alert ID,Ticker,Description,Time
260666403,"BINANCE:BTCUSDTPERP, 5m",ticker:BTCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:49144.41;timenow:2021-08-22T05:00:00Z,2021-08-22T05:00:00.000Z
260667196,"BINANCE:THETAUSDTPERP, 5m",ticker:THETAUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:7.349;timenow:2021-08-22T04:55:00Z,2021-08-22T04:55:00.000Z
260667646,"BINANCE:1000SHIBUSDTPERP, 5m",ticker:1000SHIBUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.008213;timenow:2021-08-22T04:55:00Z,2021-08-22T04:55:00.000Z
260669182,"BINANCE:ONTUSDTPERP, 5m",ticker:ONTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.0786;timenow:2021-08-22T04:50:02Z,2021-08-22T04:50:01.000Z
260669205,"BINANCE:CVCUSDTPERP, 5m",ticker:CVCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.33874;timenow:2021-08-22T04:50:00Z,2021-08-22T04:50:00.000Z
260668658,"BINANCE:UNFIUSDTPERP, 5m",ticker:UNFIUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:13.605;timenow:2021-08-22T04:50:01Z,2021-08-22T04:50:01.000Z
260667098,"BINANCE:BCHUSDTPERP, 5m",ticker:BCHUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:683.1;timenow:2021-08-22T04:50:00Z,2021-08-22T04:50:00.000Z
260668777,"BINANCE:AKROUSDTPERP, 5m",ticker:AKROUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.0344;timenow:2021-08-22T04:30:01Z,2021-08-22T04:30:01.000Z
260668975,"BINANCE:FLMUSDTPERP, 5m",ticker:FLMUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.7071;timenow:2021-08-22T04:30:00Z,2021-08-22T04:30:00.000Z
260668633,"BINANCE:RVNUSDTPERP, 5m",ticker:RVNUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.14043;timenow:2021-08-22T04:20:02Z,2021-08-22T04:20:02.000Z
260667321,"BINANCE:AAVEUSDTPERP, 5m",ticker:AAVEUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:405.11;timenow:2021-08-22T04:20:01Z,2021-08-22T04:20:01.000Z
260667697,"BINANCE:CRVUSDTPERP, 5m",ticker:CRVUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:2.252;timenow:2021-08-22T04:20:00Z,2021-08-22T04:20:00.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.25454;timenow:2021-08-22T04:20:00Z,2021-08-22T04:20:00.000Z
260667298,"BINANCE:UNIUSDTPERP, 5m",ticker:UNIUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:28.726;timenow:2021-08-22T04:15:00Z,2021-08-22T04:15:00.000Z
260668816,"BINANCE:IOTXUSDTPERP, 5m",ticker:IOTXUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.08019;timenow:2021-08-22T04:10:03Z,2021-08-22T04:10:03.000Z
260668750,"BINANCE:HOTUSDTPERP, 5m",ticker:HOTUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.010942;timenow:2021-08-22T04:10:03Z,2021-08-22T04:10:03.000Z
260669131,"BINANCE:LRCUSDTPERP, 5m",ticker:LRCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.3569;timenow:2021-08-22T04:10:03Z,2021-08-22T04:10:03.000Z
260668394,"BINANCE:REEFUSDTPERP, 5m",ticker:REEFUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.022867;timenow:2021-08-22T04:10:00Z,2021-08-22T04:10:00.000Z
260667886,"BINANCE:COTIUSDTPERP, 5m",ticker:COTIUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.296;timenow:2021-08-22T04:10:00Z,2021-08-22T04:10:00.000Z
260668105,"BINANCE:ALPHAUSDTPERP, 5m",ticker:ALPHAUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.0032;timenow:2021-08-22T04:10:00Z,2021-08-22T04:10:00.000Z
260668325,"BINANCE:RSRUSDTPERP, 5m",ticker:RSRUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.049242;timenow:2021-08-22T04:05:01Z,2021-08-22T04:05:01.000Z
260666499,"BINANCE:AXSUSDTPERP, 5m",ticker:AXSUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:77.61;timenow:2021-08-22T04:05:00Z,2021-08-22T04:05:00.000Z
260668394,"BINANCE:REEFUSDTPERP, 5m",ticker:REEFUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.022473;timenow:2021-08-22T03:40:01Z,2021-08-22T03:40:01.000Z
260669264,"BINANCE:LITUSDTPERP, 5m",ticker:LITUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:5.211;timenow:2021-08-22T03:35:01Z,2021-08-22T03:35:01.000Z
260667730,"BINANCE:KSMUSDTPERP, 5m",ticker:KSMUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:330.19;timenow:2021-08-22T03:30:02Z,2021-08-22T03:30:02.000Z
260667584,"BINANCE:TRXUSDTPERP, 5m",ticker:TRXUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.08797;timenow:2021-08-22T03:30:03Z,2021-08-22T03:30:03.000Z
260668658,"BINANCE:UNFIUSDTPERP, 5m",ticker:UNFIUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:13.259;timenow:2021-08-22T03:30:02Z,2021-08-22T03:30:02.000Z
260669131,"BINANCE:LRCUSDTPERP, 5m",ticker:LRCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.35248;timenow:2021-08-22T03:30:01Z,2021-08-22T03:30:01.000Z
260667369,"BINANCE:SUSHIUSDTPERP, 5m",ticker:SUSHIUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:13.607;timenow:2021-08-22T03:30:01Z,2021-08-22T03:30:01.000Z
